Time,Pressure,Derivative
1e-05,0.003249,0.002577
2e-05,0.005939,0.005184
3e-05,0.00835,0.006983
4e-05,0.010571,0.008791
5e-05,0.012718,0.010274
6.3e-05,0.015248,0.011675
8e-05,0.018217,0.013667
0.000101,0.021685,0.016603
0.000126,0.025718,0.019141
0.000159,0.030392,0.021544
0.000201,0.035785,0.024999
0.000253,0.041987,0.029023
0.000318,0.049093,0.033232
0.0004,0.057213,0.037701
0.000504,0.066464,0.042933
0.000634,0.076977,0.048821
0.000798,0.088902,0.055176
0.001005,0.102401,0.062425
0.001265,0.117658,0.070502
0.001593,0.13488,0.079564
0.002005,0.154298,0.089713
0.002524,0.17617,0.101002
0.003177,0.200787,0.113589
0.004,0.228476,0.12768
0.005036,0.259605,0.143609
0.006339,0.294594,0.161345
0.007981,0.333901,0.181083
0.010048,0.378009,0.202987
0.012649,0.427377,0.226676
0.015924,0.482383,0.251641
0.020048,0.54327,0.277348
0.025238,0.610105,0.302886
0.031773,0.682744,0.327462
0.04,0.760907,0.350402
0.050357,0.844108,0.371107
0.063396,0.931805,0.389346
0.079811,1.0234,0.405163
0.100476,1.11838,0.418036
0.126491,1.2159,0.428998
0.159243,1.31592,0.437749
0.200475,1.41748,0.444329
0.252383,1.52052,0.449919
0.317731,1.62464,0.454071
0.4,1.72959,0.457283
0.50357,1.83518,0.459741
0.633957,1.94124,0.461612
0.798105,2.04768,0.463038
1.00475,2.15438,0.464127
1.26491,2.26129,0.464966
1.59243,2.36835,0.465626
2.00475,2.47552,0.466159
2.52383,2.58277,0.466608
3.17731,2.69008,0.467011
4.0,2.79744,0.467399
5.0357,2.90482,0.467797
6.33957,3.01223,0.468226
7.98105,3.11965,0.4687
10.0475,3.22707,0.46925
12.6491,3.33449,0.469946
15.9243,3.44191,0.470893
20.0475,3.54935,0.472117
25.2383,3.65683,0.473344
31.7731,3.76421,0.473751
40.0,3.8711,0.471926
50.0,3.97346,0.466491
60.0,4.05543,0.458266
70.0,4.12298,0.448031
80.0,4.17979,0.436589
90.0,4.22831,0.424536
100.0,4.27027,0.412116
110.0,4.30695,0.399671
120.0,4.33928,0.387881
130.0,4.36801,0.376431
140.0,4.3937,0.365391
150.0,4.41682,0.3548
160.0,4.43773,0.344673
170.0,4.45673,0.335007
180.0,4.47408,0.325775
190.0,4.48998,0.317012
200.0,4.5046,0.308644
210.0,4.51809,0.30071
220.0,4.53058,0.293153
230.0,4.54218,0.285951
240.0,4.55297,0.279083
250.0,4.56304,0.272533
260.0,4.57246,0.266293
270.0,4.58129,0.26032
280.0,4.58958,0.25461
290.0,4.59738,0.249168
300.0,4.60473,0.243937
310.0,4.61167,0.238925
320.0,4.61824,0.234119
330.0,4.62446,0.229527
340.0,4.63035,0.225096
350.0,4.63595,0.220837
360.0,4.64128,0.216741
370.0,4.64635,0.212824
380.0,4.65118,0.209025
390.0,4.65579,0.205364
400.0,4.6602,0.201855
410.0,4.66441,0.198466
420.0,4.66845,0.195153
430.0,4.67231,0.191991
440.0,4.67602,0.188895
460.0,4.68299,0.183062
480.0,4.68943,0.177606
500.0,4.6954,0.172437
520.0,4.70096,0.167567
540.0,4.70613,0.163021
560.0,4.71096,0.158675
580.0,4.71548,0.154559
600.0,4.71972,0.150655
620.0,4.72371,0.14698
640.0,4.72747,0.14345
660.0,4.73101,0.140089
680.0,4.73436,0.136883
700.0,4.73753,0.133858
720.0,4.74053,0.130929
740.0,4.74338,0.128126
760.0,4.74609,0.125467
780.0,4.74867,0.122903
800.0,4.75112,0.120406
820.0,4.75346,0.118041
840.0,4.7557,0.115766
860.0,4.75784,0.113603
880.0,4.75988,0.111458
910.0,4.76279,0.108378
940.0,4.76552,0.105479
970.0,4.76809,0.102721
