Time,Pressure,Derivative
1e-05,0.004158,0.003319
2e-05,0.008305,0.008646
3e-05,0.012442,0.01263
4e-05,0.016571,0.01704
5e-05,0.020838,0.021124
6.3e-05,0.026199,0.025645
8e-05,0.03293,0.032257
0.000101,0.041377,0.042222
0.000126,0.05197,0.052366
0.000159,0.065245,0.063952
0.000201,0.081862,0.080688
0.000253,0.102639,0.10191
0.000318,0.12858,0.12716
0.0004,0.160909,0.157378
0.000504,0.201112,0.195703
0.000634,0.250975,0.24259
0.000798,0.31262,0.298504
0.001005,0.38853,0.366776
0.001265,0.481559,0.447945
0.001593,0.594907,0.543963
0.002005,0.732038,0.655319
0.002524,0.896523,0.781558
0.003177,1.09177,0.920963
0.004,1.32062,1.07019
0.005036,1.58477,1.22386
0.006339,1.88408,1.37036
0.007981,2.21578,1.49772
0.010047,2.57384,1.59152
0.012649,2.9487,1.63716
0.015924,3.32783,1.62533
0.020047,3.69716,1.55376
0.025238,4.04336,1.4313
0.031773,4.35632,1.27573
0.04,4.63086,1.10938
0.050357,4.86719,0.953147
0.063396,5.06979,0.821313
0.079811,5.24541,0.719609
0.100476,5.40116,0.646497
0.126491,5.5431,0.596351
0.159243,5.67575,0.56259
0.200475,5.80215,0.539601
0.252383,5.92421,0.523379
0.317731,6.04312,0.511425
0.4,6.15966,0.502288
0.50357,6.27436,0.495145
0.633957,6.38759,0.489494
0.798105,6.49966,0.485013
1.00475,6.6108,0.481462
1.26491,6.72119,0.478656
1.59243,6.83099,0.476456
2.00475,6.94032,0.474745
2.52383,7.04925,0.473436
3.17731,7.15788,0.472462
4.0,7.26625,0.471777
5.0357,7.37441,0.471343
6.33957,7.4824,0.471135
7.98105,7.59023,0.471131
10.0475,7.69792,0.471336
12.6491,7.80548,0.471801
15.9243,7.91291,0.472623
20.0475,8.02026,0.47383
25.2383,8.12752,0.47516
31.7731,8.23456,0.475797
40.0,8.34097,0.474325
50.0,8.44273,0.469327
60.0,8.52409,0.461499
70.0,8.59102,0.451607
80.0,8.64721,0.440448
90.0,8.69511,0.428379
100.0,8.73646,0.415912
110.0,8.77253,0.404034
120.0,8.80426,0.392339
130.0,8.83238,0.380952
140.0,8.85749,0.369948
150.0,8.88002,0.359369
160.0,8.90035,0.349234
170.0,8.91878,0.339496
180.0,8.93557,0.330261
190.0,8.95091,0.32139
200.0,8.96498,0.313002
210.0,8.97794,0.305
220.0,8.98989,0.297368
230.0,9.00096,0.290085
240.0,9.01124,0.283128
250.0,9.0208,0.27649
260.0,9.02971,0.270145
270.0,9.03804,0.264077
280.0,9.04584,0.258272
290.0,9.05316,0.252712
300.0,9.06003,0.247381
310.0,9.06651,0.242279
320.0,9.07261,0.237371
330.0,9.07837,0.232657
340.0,9.08382,0.228126
350.0,9.08897,0.223779
360.0,9.09386,0.219583
370.0,9.0985,0.215554
380.0,9.10291,0.211657
390.0,9.1071,0.207911
400.0,9.11109,0.20427
410.0,9.1149,0.200778
420.0,9.11853,0.197423
430.0,9.12199,0.194135
440.0,9.12531,0.19098
460.0,9.13151,0.184942
480.0,9.1372,0.17929
500.0,9.14245,0.173956
520.0,9.14729,0.168943
540.0,9.15177,0.164218
560.0,9.15592,0.159724
580.0,9.15978,0.155466
600.0,9.16338,0.151427
620.0,9.16674,0.147639
640.0,9.16989,0.143985
660.0,9.17283,0.140503
680.0,9.17559,0.137183
700.0,9.17819,0.134011
720.0,9.18063,0.131025
740.0,9.18294,0.128122
760.0,9.18511,0.125349
780.0,9.18717,0.12269
800.0,9.18911,0.120138
820.0,9.19095,0.117664
840.0,9.1927,0.115327
860.0,9.19436,0.113037
880.0,9.19594,0.110832
910.0,9.19816,0.107681
940.0,9.20022,0.104695
970.0,9.20215,0.10186
