time,BHP
2031-05-21 00:17:50.366400000,330.4367
2031-05-21 02:41:50.366400000,330.4377
2031-05-21 05:05:50.366400000,330.4388
2031-05-21 07:29:50.366400000,330.4399
2031-05-21 09:53:50.366400000,330.4409
2031-05-21 12:17:50.366400000,330.442
2031-05-21 14:41:50.366400000,330.4431
2031-05-21 17:05:50.366400000,330.4442
2031-05-21 19:29:50.366400000,330.4452
2031-05-21 21:53:50.366400000,330.4463
2031-05-22 00:17:50.366400000,330.4474
2031-05-22 02:41:50.366400000,330.4485
2031-05-22 05:05:50.366400000,330.4495
2031-05-22 07:29:50.366400000,330.4506
2031-05-22 09:53:50.366400000,330.4517
2031-05-22 12:17:50.366400000,330.4528
2031-05-22 14:41:50.366400000,330.4539
2031-05-22 17:05:50.366400000,330.4549
2031-05-22 19:29:50.366400000,330.456
2031-05-22 21:53:50.366400000,330.4571
2031-05-23 00:17:50.366400000,330.4582
2031-05-23 02:41:50.366400000,330.4593
2031-05-23 05:05:50.366400000,330.4604
2031-05-23 07:29:50.366400000,330.4615
2031-05-23 09:53:50.366400000,330.4625
2031-05-23 12:17:50.366400000,330.4636
2031-05-23 14:41:50.366400000,330.4647
2031-05-23 17:05:50.366400000,330.4658
2031-05-23 19:29:50.366400000,330.4669
2031-05-23 21:53:50.366400000,330.468
2031-05-24 00:17:50.366400000,330.4691
2031-05-24 02:41:50.366400000,330.4702
2031-05-24 05:05:50.366400000,330.4713
2031-05-24 07:29:50.366400000,330.4724
2031-05-24 09:53:50.366400000,330.4735
2031-05-24 12:17:50.366400000,330.4746
2031-05-24 14:41:50.366400000,330.4757
2031-05-24 17:05:50.366400000,330.4768
2031-05-24 19:29:50.366400000,330.4779
2031-05-24 21:53:50.366400000,330.479
2031-05-25 00:17:50.366400000,330.4801
2031-05-25 02:41:50.366400000,330.4812
2031-05-25 05:05:50.366400000,330.4823
2031-05-25 07:29:50.366400000,330.4834
2031-05-25 09:53:50.366400000,330.4845
2031-05-25 12:17:50.366400000,330.4856
